PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4988,3000,1324,894,2315,700,547,880,647,772,,,9821,6246
OTHER ACCOMODATION FACILITIES,,1126,,,,,,60,120,,,,,1186,
"HELLENIC POLICE
FACILITIES",P.D.C.,118,210,,,,,,,84,500,,,202,710
,DETENTION FACILITIES,4,40,23,18,18,24,4,6,0,35,20,63,69,186
U.N.H.C.R.,,444,557,225,251,161,170,85,116,114,130,70,95,1099,1319
N.C.S.S.,,157,170,15,18,10,10,,,,,,,182,198
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6928,,1587,,2504,,696,,845,,90,,12650,
ARRIVALS,,10,,0,,46,,0,,0,,0,,56,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
