PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7370,3000,1616,1014,2915,648,823,860,856,816,,,13580,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,111,120,,,,,1252,
"HELLENIC POLICE
FACILITIES",P.D.C.,139,210,,,,,,,119,500,,,258,710
,DETENTION FACILITIES,3,40,19,18,11,24,3,6,2,35,23,63,61,186
U.N.H.C.R.,,542,621,209,248,240,245,100,116,159,189,73,101,1323,1520
N.C.S.S.,,176,180,18,18,8,8,,,,,,,202,206
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9464,,1862,,3174,,1037,,1136,,96,,16769,
ARRIVALS,,5,,0,,0,,0,,0,,148,,153,
TRANSPORTSTO THE MAINLAND,,64,,16,,0,,3,,0,,0,,83,
DEPARTURES(EU-TURKEY STATEMENT),,4,,1,,2,,0,,0,,2,,9,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,4,,1,,2,,0,,0,,2,,9,
