PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6609,3000,1431,1014,2865,648,634,860,874,816,,,12413,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,72,500,,,196,710
,DETENTION FACILITIES,2,40,16,18,11,24,0,6,1,35,27,65,57,188
U.N.H.C.R.,,553,603,187,236,205,245,102,116,146,161,62,103,1255,1464
N.C.S.S.,,175,180,19,18,10,10,,,,,,,204,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8768,,1653,,3091,,831,,1093,,89,,15525,
ARRIVALS,,0,,0,,0,,0,,0,,1,,1,
TRANSPORTSTO THE MAINLAND,,3,,0,,0,,0,,0,,0,,3,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
