PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7370,3000,1707,1014,2960,648,804,860,882,816,,,13723,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,120,500,,,243,710
,DETENTION FACILITIES,0,40,16,18,10,24,3,6,11,35,32,63,72,186
U.N.H.C.R.,,547,651,213,248,240,245,100,116,168,189,73,101,1341,1550
N.C.S.S.,,166,172,17,18,8,8,,,,,,,191,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9440,,1953,,3218,,1027,,1181,,105,,16924,
ARRIVALS,,100,,0,,48,,0,,5,,6,,159,
TRANSPORTSTO THE MAINLAND,,25,,11,,0,,0,,2,,4,,42,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,13,,0,,13,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,13,,0,,13,
