PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5492,2330,1676,894,2572,700,617,880,668,772,,,11025,5576
OTHER ACCOMODATION FACILITIES,,1131,,,,,,69,120,,,,,1200,
"HELLENIC POLICE
FACILITIES",P.D.C.,178,210,,,,,,,86,500,,,264,710
,DETENTION FACILITIES,4,40,25,18,29,24,0,6,4,35,20,63,82,186
U.N.H.C.R.,,423,532,224,249,123,143,79,116,96,140,81,87,1026,1267
N.C.S.S.,,175,180,18,18,14,14,,,,,,,207,212
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7490,,1943,,2738,,765,,854,,101,,13891,
ARRIVALS,,35,,0,,2,,0,,3,,0,,40,
TRANSPORTSTO THE MAINLAND,,131,,51,,26,,0,,3,,6,,217,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,6,,12,,0,,18,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,6,,12,,0,,18,
