PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7733,3100,1971,1014,3570,648,745,860,1115,816,,,15134,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,125,210,,,,,,,100,500,,,225,710
,DETENTION FACILITIES,7,40,29,18,17,24,6,6,2,36,29,68,90,192
U.N.H.C.R.,,618,677,205,250,218,227,103,116,163,189,68,105,1375,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9923,,2222,,3816,,952,,1380,,97,,18390,
ARRIVALS,,150,,0,,0,,0,,18,,26,,194,
TRANSPORTSTO THE MAINLAND,,22,,6,,1,,0,,2,,15,,46,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
