PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5459,2330,1873,894,2278,700,679,880,716,772,,,11005,5576
OTHER ACCOMODATION FACILITIES,,940,,,,,,94,120,,,,,1034,
"HELLENIC POLICE
FACILITIES",P.D.C.,148,210,,,,,,,84,500,,,232,710
,DETENTION FACILITIES,4,40,20,18,27,24,4,6,4,35,46,68,105,191
U.N.H.C.R.,,370,497,220,239,102,144,66,80,112,140,81,87,951,1187
N.C.S.S.,,164,180,13,18,15,15,,,,,,,192,213
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,3,,3,
MIGRANTS PRESENT ON THE ISLAND,,7174,,2126,,2422,,843,,916,,130,,13611,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,18,,19,,110,,0,,3,,1,,151,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,7,,0,,0,,0,,7,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,7,,0,,0,,0,,7,
