PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7907,3100,2024,1014,3581,648,745,860,1132,816,,,15389,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,98,500,,,224,710
,DETENTION FACILITIES,6,40,27,18,12,24,4,6,3,36,27,68,79,192
U.N.H.C.R.,,618,677,205,250,218,227,103,116,163,189,68,105,1375,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10097,,2273,,3822,,950,,1396,,95,,18633,
ARRIVALS,,43,,0,,11,,0,,0,,0,,54,
TRANSPORTSTO THE MAINLAND,,0,,2,,1,,5,,2,,0,,10,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
