PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7511,3100,2044,1014,3597,648,792,860,956,816,,,14900,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,106,120,,,,,1287,
"HELLENIC POLICE
FACILITIES",P.D.C.,117,210,,,,,,,95,500,,,212,710
,DETENTION FACILITIES,5,40,33,18,12,24,1,6,1,36,31,63,83,187
U.N.H.C.R.,,604,679,206,250,214,227,90,116,151,189,65,105,1330,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9653,,2300,,3834,,989,,1203,,96,,18075,
ARRIVALS,,41,,0,,0,,0,,0,,0,,41,
TRANSPORTSTO THE MAINLAND,,3,,7,,12,,0,,16,,14,,52,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
