PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6230,3000,1430,1014,2900,648,633,860,940,816,,,12133,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,65,500,,,196,710
,DETENTION FACILITIES,2,40,14,18,15,24,1,6,0,35,37,63,69,186
U.N.H.C.R.,,546,598,206,236,229,235,102,116,144,161,62,103,1289,1449
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8345,,1666,,3156,,831,,1149,,99,,15246,
ARRIVALS,,107,,0,,0,,0,,0,,52,,159,
TRANSPORTSTO THE MAINLAND,,85,,6,,0,,1,,1,,0,,93,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,6,,0,,0,,0,,0,,0,,6,
TOTAL DEPARTURES FROM THE ISLAND,,6,,0,,0,,0,,0,,0,,6,
