PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6978,3000,1447,1014,3139,648,805,860,885,816,,,13254,6338
OTHER ACCOMODATION FACILITIES,,1152,,,,,,124,120,,,,,1276,
"HELLENIC POLICE
FACILITIES",P.D.C.,107,210,,,,,,,116,500,,,223,710
,DETENTION FACILITIES,2,40,18,18,11,24,1,6,2,36,53,63,87,187
U.N.H.C.R.,,540,655,219,248,244,245,101,116,170,189,73,105,1347,1558
N.C.S.S.,,155,172,16,18,8,8,,,,,,,179,198
OTHER N.G.O.s,,443,,,,,,,,,,,,443,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,6,,6,
MIGRANTS PRESENT ON THE ISLAND,,9377,,1700,,3402,,1031,,1173,,132,,16815,
ARRIVALS,,0,,0,,34,,0,,1,,0,,35,
TRANSPORTSTO THE MAINLAND,,39,,9,,0,,3,,10,,1,,62,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
