PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4984,3000,1382,894,2432,700,548,880,583,772,,,9929,6246
OTHER ACCOMODATION FACILITIES,,1036,,,,,,59,120,,,,,1095,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,92,500,,,216,710
,DETENTION FACILITIES,4,40,21,18,20,24,4,6,0,35,24,65,73,188
U.N.H.C.R.,,457,534,231,249,142,155,87,116,97,130,77,95,1091,1279
N.C.S.S.,,129,180,15,18,16,16,,,,,,,160,214
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6823,,1649,,2610,,698,,772,,101,,12653,
ARRIVALS,,0,,60,,0,,0,,0,,1,,61,
TRANSPORTSTO THE MAINLAND,,156,,2,,0,,0,,0,,0,,158,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
