PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5416,2330,1643,894,2603,700,604,880,667,772,,,10933,5576
OTHER ACCOMODATION FACILITIES,,1114,,,,,,69,120,,,,,1183,
"HELLENIC POLICE
FACILITIES",P.D.C.,156,210,,,,,,,98,500,,,254,710
,DETENTION FACILITIES,4,40,25,18,28,24,1,6,3,35,19,63,80,186
U.N.H.C.R.,,426,524,224,249,118,143,79,116,103,130,81,87,1031,1249
N.C.S.S.,,139,180,17,18,16,14,,,,,,,172,212
OTHER N.G.O.s,,82,,,,,,,,,,,,82,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7337,,1909,,2765,,753,,871,,100,,13735,
ARRIVALS,,0,,0,,82,,0,,0,,0,,82,
TRANSPORTSTO THE MAINLAND,,25,,0,,0,,0,,1,,0,,26,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
