PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5502,2330,1758,894,2431,700,643,880,703,772,,,11037,5576
OTHER ACCOMODATION FACILITIES,,1059,,,,,,94,120,,,,,1153,
"HELLENIC POLICE
FACILITIES",P.D.C.,155,210,,,,,,,86,500,,,241,710
,DETENTION FACILITIES,6,40,27,18,26,24,3,6,2,35,31,63,95,186
U.N.H.C.R.,,422,522,216,239,102,144,63,80,105,140,81,87,989,1212
N.C.S.S.,,170,180,17,18,14,14,,,,,,,201,212
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7403,,2018,,2573,,803,,896,,112,,13805,
ARRIVALS,,0,,0,,0,,0,,28,,0,,28,
TRANSPORTSTO THE MAINLAND,,152,,3,,0,,0,,28,,0,,183,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
