PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6987,3000,1625,1014,2916,648,732,860,853,816,,,13113,6338
OTHER ACCOMODATION FACILITIES,,1124,,,,,,95,120,,,,,1219,
"HELLENIC POLICE
FACILITIES",P.D.C.,142,210,,,,,,,65,500,,,207,710
,DETENTION FACILITIES,2,40,18,18,7,24,3,6,1,35,26,63,57,186
U.N.H.C.R.,,524,607,210,248,239,245,98,116,141,161,61,101,1273,1478
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,31,,31,
MIGRANTS PRESENT ON THE ISLAND,,9044,,1872,,3170,,928,,1060,,118,,16192,
ARRIVALS,,58,,0,,47,,0,,0,,31,,136,
TRANSPORTSTO THE MAINLAND,,5,,18,,0,,0,,7,,0,,30,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
