PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8437,3100,2198,1014,3878,648,690,860,1213,816,,,16416,6438
OTHER ACCOMODATION FACILITIES,,1204,,,,,,90,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,99,210,,,,,,,146,500,,,245,710
,DETENTION FACILITIES,4,40,23,18,19,24,4,6,1,36,21,63,72,187
U.N.H.C.R.,,622,677,221,250,215,227,103,116,169,189,60,105,1390,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,10,,10,
MIGRANTS PRESENT ON THE ISLAND,,10598,,2460,,4120,,887,,1529,,91,,19685,
ARRIVALS,,92,,0,,0,,0,,0,,8,,100,
TRANSPORTSTO THE MAINLAND,,25,,14,,3,,0,,0,,7,,49,
DEPARTURES(EU-TURKEY STATEMENT),,3,,0,,0,,0,,3,,0,,6,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,3,,0,,0,,0,,3,,0,,6,
