PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8248,3100,2189,1014,3818,648,717,860,1243,816,,,16215,6438
OTHER ACCOMODATION FACILITIES,,1198,,,,,,90,120,,,,,1288,
"HELLENIC POLICE
FACILITIES",P.D.C.,112,210,,,,,,,73,500,,,185,710
,DETENTION FACILITIES,5,40,17,18,10,24,2,6,3,36,114,63,151,187
U.N.H.C.R.,,628,677,216,250,211,227,103,116,162,189,67,105,1387,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10442,,2440,,4050,,912,,1481,,181,,19506,
ARRIVALS,,0,,0,,5,,0,,4,,0,,9,
TRANSPORTSTO THE MAINLAND,,0,,2,,3,,0,,4,,5,,14,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
