PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7420,3100,1989,1014,3632,648,792,860,1012,816,,,14845,6438
OTHER ACCOMODATION FACILITIES,,1181,,,,,,106,120,,,,,1287,
"HELLENIC POLICE
FACILITIES",P.D.C.,116,210,,,,,,,96,500,,,212,710
,DETENTION FACILITIES,5,40,35,18,12,24,4,6,0,36,31,63,87,187
U.N.H.C.R.,,604,679,206,250,214,227,90,116,151,189,65,105,1330,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,75,,,,,,,,,,,,75,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9561,,2247,,3869,,992,,1259,,96,,18024,
ARRIVALS,,34,,0,,30,,0,,7,,0,,71,
TRANSPORTSTO THE MAINLAND,,145,,74,,4,,0,,2,,1,,226,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
