PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8791,3100,2194,1014,3957,648,684,860,1268,816,,,16894,6438
OTHER ACCOMODATION FACILITIES,,1204,,,,,,90,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,90,210,,,,,,,141,500,,,231,710
,DETENTION FACILITIES,2,40,18,18,17,24,2,6,0,36,35,63,74,187
U.N.H.C.R.,,622,677,221,250,215,227,79,116,154,189,60,105,1351,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,10,,10,
MIGRANTS PRESENT ON THE ISLAND,,10941,,2451,,4197,,855,,1563,,105,,20112,
ARRIVALS,,20,,0,,0,,0,,19,,5,,44,
TRANSPORTSTO THE MAINLAND,,38,,4,,19,,0,,11,,0,,72,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
