PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6123,2330,1967,894,2306,700,721,880,729,772,,,11846,5576
OTHER ACCOMODATION FACILITIES,,1140,,,,,,96,120,,,,,1236,
"HELLENIC POLICE
FACILITIES",P.D.C.,152,210,,,,,,,92,500,,,244,710
,DETENTION FACILITIES,7,40,15,18,23,24,3,6,2,35,42,68,92,191
U.N.H.C.R.,,353,485,227,239,102,144,66,80,112,140,81,87,941,1175
N.C.S.S.,,164,180,13,18,15,15,,,,,,,192,213
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,11,,11,
MIGRANTS PRESENT ON THE ISLAND,,8023,,2222,,2446,,886,,935,,134,,14646,
ARRIVALS,,0,,0,,0,,0,,0,,43,,43,
TRANSPORTSTO THE MAINLAND,,8,,0,,0,,48,,1,,0,,57,
DEPARTURES (EU-TURKEY STATEMENT),,2,,6,,0,,0,,0,,0,,8,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,6,,0,,0,,0,,0,,8,
