PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6096,3000,1462,1014,2859,648,633,860,940,816,,,11990,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,65,500,,,195,710
,DETENTION FACILITIES,2,40,15,18,16,24,3,6,0,35,36,63,72,186
U.N.H.C.R.,,544,598,206,236,217,235,102,116,144,161,61,103,1274,1449
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8208,,1699,,3104,,833,,1149,,97,,15090,
ARRIVALS,,60,,17,,0,,0,,0,,0,,77,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
