PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8675,3100,2266,1014,3809,648,679,860,1248,816,,,16677,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,90,120,,,,,1280,
"HELLENIC POLICE
FACILITIES",P.D.C.,101,210,,,,,,,139,500,,,240,710
,DETENTION FACILITIES,8,40,21,18,8,24,5,6,0,36,70,63,112,187
U.N.H.C.R.,,595,677,221,250,205,236,90,116,154,189,57,105,1322,1573
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10814,,2525,,4033,,864,,1541,,127,,19904,
ARRIVALS,,0,,9,,34,,0,,0,,0,,43,
TRANSPORTSTO THE MAINLAND,,22,,15,,0,,6,,26,,4,,73,
DEPARTURES(EU-TURKEY STATEMENT),,1,,1,,4,,1,,0,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,1,,0,,0,,1,
TOTAL DEPARTURES FROM THE ISLAND,,1,,1,,4,,2,,0,,0,,8,
