PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6711,3000,1427,1014,2876,648,660,860,864,816,,,12538,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,69,500,,,203,710
,DETENTION FACILITIES,2,40,21,18,7,24,3,6,4,35,66,63,103,186
U.N.H.C.R.,,540,607,203,248,221,245,98,116,146,161,67,109,1275,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8793,,1670,,3112,,856,,1083,,133,,15647,
ARRIVALS,,95,,0,,0,,0,,0,,40,,135,
TRANSPORTSTO THE MAINLAND,,337,,3,,0,,0,,8,,0,,348,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
