PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7369,3100,1942,1014,3562,648,792,860,1025,816,,,14690,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,106,120,,,,,1263,
"HELLENIC POLICE
FACILITIES",P.D.C.,120,210,,,,,,,98,500,,,218,710
,DETENTION FACILITIES,1,40,37,18,14,24,5,6,2,36,35,68,94,192
U.N.H.C.R.,,594,679,216,250,192,227,98,116,151,189,65,105,1316,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9484,,2212,,3779,,1001,,1276,,100,,17852,
ARRIVALS,,0,,0,,0,,0,,7,,0,,7,
TRANSPORTSTO THE MAINLAND,,117,,1,,10,,44,,0,,4,,176,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
