PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8804,3100,2274,1014,4017,648,659,860,1318,816,,,17072,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,110,210,,,,,,,131,500,,,241,710
,DETENTION FACILITIES,7,40,21,18,15,24,5,6,4,36,50,63,102,187
U.N.H.C.R.,,618,677,214,250,210,236,84,116,158,189,60,105,1344,1573
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10956,,2526,,4253,,838,,1611,,110,,20294,
ARRIVALS,,0,,0,,33,,0,,0,,0,,33,
TRANSPORTSTO THE MAINLAND,,22,,8,,1,,9,,12,,0,,52,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
