PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4996,3000,1415,894,2549,700,588,880,584,772,,,10132,6246
OTHER ACCOMODATION FACILITIES,,1095,,,,,,60,120,,,,,1155,
"HELLENIC POLICE
FACILITIES",P.D.C.,136,210,,,,,,,83,500,,,219,710
,DETENTION FACILITIES,8,40,24,18,22,24,7,6,2,35,33,63,96,186
U.N.H.C.R.,,432,524,225,249,126,155,70,116,101,130,77,87,1031,1261
N.C.S.S.,,111,180,15,18,16,14,,,,,,,142,212
OTHER N.G.O.s,,86,,,,,,,,,,,,86,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6864,,1679,,2713,,725,,770,,110,,12861,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,373,,0,,0,,0,,0,,0,,373,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
