PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7244,3000,1570,1014,2908,648,710,860,872,816,,,13304,6338
OTHER ACCOMODATION FACILITIES,,1124,,,,,,111,120,,,,,1235,
"HELLENIC POLICE
FACILITIES",P.D.C.,142,210,,,,,,,61,500,,,203,710
,DETENTION FACILITIES,3,40,16,18,9,24,4,6,3,35,27,63,62,186
U.N.H.C.R.,,521,621,210,248,240,245,83,116,142,161,65,101,1261,1492
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9299,,1815,,3165,,908,,1078,,92,,16357,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,118,,3,,28,,4,,1,,0,,154,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
