PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4910,3000,1277,894,2257,700,532,880,748,772,,,9724,6246
OTHER ACCOMODATION FACILITIES,,1152,,,,,,60,120,,,,,1212,
"HELLENIC POLICE
FACILITIES",P.D.C.,111,210,,,,,,,91,500,,,202,710
,DETENTION FACILITIES,5,40,26,18,15,24,4,6,0,35,20,63,70,186
U.N.H.C.R.,,475,557,214,251,173,173,85,116,120,130,72,95,1139,1322
N.C.S.S.,,170,180,17,18,10,10,,,,,,,197,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6907,,1534,,2455,,681,,959,,92,,12628,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,31,,4,,99,,1,,1,,5,,141,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
