PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4913,3000,1295,894,2372,700,540,880,739,772,,,9859,6246
OTHER ACCOMODATION FACILITIES,,1152,,,,,,60,120,,,,,1212,
"HELLENIC POLICE
FACILITIES",P.D.C.,109,210,,,,,,,96,500,,,205,710
,DETENTION FACILITIES,5,40,24,18,15,24,4,6,0,35,35,63,83,186
U.N.H.C.R.,,462,557,212,251,172,173,85,116,119,130,72,95,1122,1322
N.C.S.S.,,170,180,17,18,10,10,,,,,,,197,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6895,,1548,,2569,,689,,954,,107,,12762,
ARRIVALS,,0,,0,,0,,0,,55,,0,,55,
TRANSPORTSTO THE MAINLAND,,12,,19,,0,,4,,0,,0,,35,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
