PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4952,3000,1332,894,2301,700,558,880,622,772,,,9765,6246
OTHER ACCOMODATION FACILITIES,,1126,,,,,,60,120,,,,,1186,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,85,500,,,215,710
,DETENTION FACILITIES,6,40,22,18,19,24,6,6,0,35,22,63,75,186
U.N.H.C.R.,,442,547,225,251,152,170,85,116,108,130,70,95,1082,1309
N.C.S.S.,,155,170,16,18,11,11,,,,,,,182,199
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6902,,1595,,2483,,709,,815,,92,,12596,
ARRIVALS,,0,,0,,0,,0,,45,,0,,45,
TRANSPORTSTO THE MAINLAND,,4,,34,,30,,0,,0,,0,,68,
DEPARTURES(EU-TURKEY STATEMENT),,3,,0,,0,,0,,0,,0,,3,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,3,,0,,0,,0,,0,,0,,3,
