PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4983,3000,1274,894,2441,700,526,880,795,772,,,10019,6246
OTHER ACCOMODATION FACILITIES,,1202,,,,,,60,120,,,,,1262,
"HELLENIC POLICE
FACILITIES",P.D.C.,110,210,,,,,,,84,500,,,194,710
,DETENTION FACILITIES,5,40,22,18,16,24,9,6,0,35,15,63,67,186
U.N.H.C.R.,,470,567,217,251,172,173,85,116,119,130,72,99,1135,1336
N.C.S.S.,,170,180,18,18,12,12,,,,,,,200,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7024,,1531,,2641,,680,,998,,87,,12961,
ARRIVALS,,0,,0,,33,,0,,32,,0,,65,
TRANSPORTSTO THE MAINLAND,,15,,10,,89,,0,,0,,0,,114,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
