PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5193,3000,1538,894,2633,700,595,880,617,772,,,10576,6246
OTHER ACCOMODATION FACILITIES,,1114,,,,,,60,120,,,,,1174,
"HELLENIC POLICE
FACILITIES",P.D.C.,143,210,,,,,,,94,500,,,237,710
,DETENTION FACILITIES,31,40,23,18,20,24,7,6,4,35,22,63,107,186
U.N.H.C.R.,,426,524,224,249,110,143,75,116,96,130,85,87,1016,1249
N.C.S.S.,,111,180,15,18,16,14,,,,,,,142,212
OTHER N.G.O.s,,82,,,,,,,,,,,,82,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7100,,1800,,2779,,737,,811,,107,,13334,
ARRIVALS,,0,,0,,0,,0,,1,,0,,1,
TRANSPORTSTO THE MAINLAND,,11,,4,,0,,6,,31,,0,,52,
DEPARTURES(EU-TURKEY STATEMENT),,11,,2,,0,,1,,7,,0,,21,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,11,,2,,0,,1,,7,,0,,21,
