PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5005,3000,1274,894,2352,700,532,880,765,772,,,9928,6246
OTHER ACCOMODATION FACILITIES,,1202,,,,,,60,120,,,,,1262,
"HELLENIC POLICE
FACILITIES",P.D.C.,111,210,,,,,,,88,500,,,199,710
,DETENTION FACILITIES,4,40,23,18,15,24,5,6,1,35,16,63,64,186
U.N.H.C.R.,,478,567,217,251,172,173,85,116,120,130,72,99,1144,1336
N.C.S.S.,,170,180,18,18,12,12,,,,,,,200,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7054,,1532,,2551,,682,,974,,88,,12881,
ARRIVALS,,96,,0,,93,,0,,0,,0,,189,
TRANSPORTSTO THE MAINLAND,,3,,11,,0,,0,,1,,0,,15,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
