PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4977,3000,1318,894,2316,700,547,880,648,772,,,9806,6246
OTHER ACCOMODATION FACILITIES,,1126,,,,,,60,120,,,,,1186,
"HELLENIC POLICE
FACILITIES",P.D.C.,119,210,,,,,,,84,500,,,203,710
,DETENTION FACILITIES,4,40,23,18,18,24,4,6,0,35,17,63,66,186
U.N.H.C.R.,,444,557,209,251,168,170,85,116,114,130,70,95,1090,1319
N.C.S.S.,,157,170,15,18,10,10,,,,,,,182,198
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6918,,1565,,2512,,696,,846,,87,,12624,
ARRIVALS,,34,,0,,0,,0,,0,,0,,34,
TRANSPORTSTO THE MAINLAND,,23,,2,,14,,0,,0,,0,,39,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
