PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4955,3000,1336,894,2334,700,559,880,593,772,,,9777,6246
OTHER ACCOMODATION FACILITIES,,1119,,,,,,60,120,,,,,1179,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,79,500,,,203,710
,DETENTION FACILITIES,6,40,25,18,20,24,6,6,0,35,22,63,79,186
U.N.H.C.R.,,440,534,223,251,152,170,85,116,108,130,70,95,1078,1296
N.C.S.S.,,155,170,16,18,11,11,,,,,,,182,199
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6890,,1600,,2517,,710,,780,,92,,12589,
ARRIVALS,,27,,0,,0,,0,,0,,0,,27,
TRANSPORTSTO THE MAINLAND,,12,,8,,0,,0,,1,,0,,21,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
