PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7182,3000,1600,1014,3343,648,792,860,917,816,,,13834,6338
OTHER ACCOMODATION FACILITIES,,1207,,,,,,124,120,,,,,1331,
"HELLENIC POLICE
FACILITIES",P.D.C.,90,210,,,,,,,112,500,,,202,710
,DETENTION FACILITIES,4,40,22,18,5,24,0,6,0,36,35,63,66,187
U.N.H.C.R.,,585,651,203,248,260,245,94,116,164,189,75,105,1381,1554
N.C.S.S.,,174,198,18,18,4,12,,,,,,,196,228
OTHER N.G.O.s,,342,,,,,,,,,,,,342,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9584,,1843,,3612,,1010,,1193,,110,,17352,
ARRIVALS,,5,,0,,0,,0,,6,,0,,11,
TRANSPORTSTO THE MAINLAND,,3,,9,,65,,7,,2,,0,,86,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
