PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8468,3100,2387,1014,4047,648,730,860,1244,816,,,16876,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,95,120,,,,,1285,
"HELLENIC POLICE
FACILITIES",P.D.C.,101,210,,,,,,,123,500,,,224,710
,DETENTION FACILITIES,1,40,13,18,8,24,4,6,2,36,57,65,85,189
U.N.H.C.R.,,590,677,229,250,209,236,85,116,148,189,60,105,1321,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10594,,2645,,4275,,914,,1517,,117,,20062,
ARRIVALS,,68,,0,,50,,0,,0,,35,,153,
TRANSPORTSTO THE MAINLAND,,465,,8,,0,,0,,2,,2,,477,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
