PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8440,3100,2194,1014,4011,648,673,860,1290,816,,,16608,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,103,210,,,,,,,147,500,,,250,710
,DETENTION FACILITIES,3,40,27,18,13,24,6,6,6,36,5,63,60,187
U.N.H.C.R.,,618,677,208,250,201,227,84,116,153,189,60,105,1324,1564
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,44,,44,
MIGRANTS PRESENT ON THE ISLAND,,10581,,2446,,4236,,853,,1596,,109,,19821,
ARRIVALS,,98,,51,,92,,0,,23,,70,,334,
TRANSPORTSTO THE MAINLAND,,28,,15,,31,,0,,3,,1,,78,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
