PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7553,3100,1956,1014,3590,648,802,860,977,816,,,14878,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,115,120,,,,,1326,
"HELLENIC POLICE
FACILITIES",P.D.C.,111,210,,,,,,,95,500,,,206,710
,DETENTION FACILITIES,12,40,12,18,15,24,1,6,0,36,22,63,62,187
U.N.H.C.R.,,602,681,212,244,238,240,111,116,166,189,60,105,1389,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9730,,2198,,3854,,1029,,1238,,82,,18131,
ARRIVALS,,45,,2,,0,,0,,12,,0,,59,
TRANSPORTSTO THE MAINLAND,,93,,13,,0,,3,,14,,3,,126,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
