PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7653,3100,2375,1014,3800,648,716,860,1132,816,,,15676,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,74,210,,,,,,,130,500,,,204,710
,DETENTION FACILITIES,2,40,3,18,14,24,4,6,0,36,8,63,31,187
U.N.H.C.R.,,565,675,228,250,217,245,86,116,150,189,60,99,1306,1574
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,9729,,2619,,4042,,916,,1412,,83,,18801,
ARRIVALS,,14,,0,,48,,0,,0,,0,,62,
TRANSPORTSTO THE MAINLAND,,15,,5,,0,,6,,4,,0,,30,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
