PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5452,2330,1742,894,2368,700,643,880,702,772,,,10907,5576
OTHER ACCOMODATION FACILITIES,,1059,,,,,,94,120,,,,,1153,
"HELLENIC POLICE
FACILITIES",P.D.C.,157,210,,,,,,,86,500,,,243,710
,DETENTION FACILITIES,6,40,29,18,25,24,2,6,2,35,28,63,92,186
U.N.H.C.R.,,412,522,216,239,102,144,63,80,105,140,81,87,979,1212
N.C.S.S.,,178,180,18,18,14,14,,,,,,,210,212
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7353,,2005,,2509,,802,,895,,109,,13673,
ARRIVALS,,10,,0,,33,,0,,0,,0,,43,
TRANSPORTSTO THE MAINLAND,,1,,0,,0,,0,,1,,0,,2,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
