PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7502,3100,2045,1014,3562,648,792,860,975,816,,,14876,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,117,210,,,,,,,96,500,,,213,710
,DETENTION FACILITIES,10,40,11,18,15,24,1,6,0,36,21,65,58,189
U.N.H.C.R.,,594,681,212,244,243,240,111,116,168,189,60,105,1388,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9675,,2286,,3831,,1015,,1239,,81,,18127,
ARRIVALS,,57,,46,,5,,0,,1,,48,,157,
TRANSPORTSTO THE MAINLAND,,25,,6,,40,,0,,0,,2,,73,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
