PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8124,3100,2004,1014,3608,648,758,860,1124,816,,,15618,6438
OTHER ACCOMODATION FACILITIES,,1199,,,,,,90,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,90,500,,,220,710
,DETENTION FACILITIES,8,40,17,18,12,24,6,6,3,36,33,73,79,197
U.N.H.C.R.,,623,677,219,250,228,227,103,116,163,189,70,105,1406,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10335,,2258,,3859,,957,,1380,,103,,18892,
ARRIVALS,,135,,0,,23,,0,,0,,38,,196,
TRANSPORTSTO THE MAINLAND,,52,,19,,0,,1,,0,,1,,73,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
