PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7279,3000,1570,1014,2920,648,700,860,873,816,,,13342,6338
OTHER ACCOMODATION FACILITIES,,1161,,,,,,111,120,,,,,1272,
"HELLENIC POLICE
FACILITIES",P.D.C.,137,210,,,,,,,118,500,,,255,710
,DETENTION FACILITIES,1,40,20,18,19,24,3,6,1,35,24,63,68,186
U.N.H.C.R.,,541,621,209,248,241,245,97,116,153,189,73,101,1314,1520
N.C.S.S.,,176,180,18,18,8,8,,,,,,,202,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9387,,1817,,3188,,911,,1145,,97,,16545,
ARRIVALS,,151,,5,,0,,0,,0,,0,,156,
TRANSPORTSTO THE MAINLAND,,107,,21,,0,,0,,2,,0,,130,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
