PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5040,3000,1242,1014,2460,648,562,860,775,770,,,10079,6292
OTHER ACCOMODATION FACILITIES,,1207,,,,,,60,120,,,,,1267,
"HELLENIC POLICE
FACILITIES",P.D.C.,100,210,,,,,,,77,500,,,177,710
,DETENTION FACILITIES,4,40,21,18,19,24,8,6,0,35,19,63,71,186
U.N.H.C.R.,,491,567,222,251,173,231,85,116,115,130,71,99,1157,1394
N.C.S.S.,,163,180,19,18,12,12,,,,,,,194,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7089,,1504,,2664,,715,,967,,90,,13029,
ARRIVALS,,65,,0,,93,,0,,0,,44,,202,
TRANSPORTSTO THE MAINLAND,,4,,3,,0,,0,,0,,2,,9,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,9,,0,,0,,0,,0,,0,,9,
TOTAL DEPARTURES FROM THE ISLAND,,9,,0,,0,,0,,0,,0,,9,
