PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7585,3100,2045,1014,3565,648,792,860,978,816,,,14965,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,116,210,,,,,,,95,500,,,211,710
,DETENTION FACILITIES,8,40,11,18,14,24,1,6,0,36,22,68,56,192
U.N.H.C.R.,,594,681,212,244,243,240,111,116,168,189,60,105,1388,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9755,,2286,,3833,,1015,,1241,,82,,18212,
ARRIVALS,,81,,0,,3,,0,,18,,0,,102,
TRANSPORTSTO THE MAINLAND,,0,,4,,0,,1,,3,,6,,14,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
