PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8249,3100,2126,1014,3726,648,748,860,1130,816,,,15979,6438
OTHER ACCOMODATION FACILITIES,,1199,,,,,,90,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,136,210,,,,,,,79,500,,,215,710
,DETENTION FACILITIES,2,40,16,18,12,24,6,6,3,36,29,73,68,197
U.N.H.C.R.,,622,677,219,250,208,227,101,116,155,189,70,105,1375,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10459,,2379,,3957,,945,,1367,,99,,19206,
ARRIVALS,,24,,127,,77,,0,,0,,0,,228,
TRANSPORTSTO THE MAINLAND,,0,,4,,0,,0,,0,,0,,4,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,4,,4,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,4,,4,
