PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7569,3100,1956,1014,3609,648,802,860,959,816,,,14895,6438
OTHER ACCOMODATION FACILITIES,,1177,,,,,,116,120,,,,,1293,
"HELLENIC POLICE
FACILITIES",P.D.C.,108,210,,,,,,,100,500,,,208,710
,DETENTION FACILITIES,6,40,22,18,26,24,2,6,0,36,33,63,89,187
U.N.H.C.R.,,590,681,199,244,236,240,111,116,175,189,60,105,1371,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,90,,,,,,,,,,,,90,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9701,,2195,,3882,,1031,,1234,,93,,18136,
ARRIVALS,,38,,56,,9,,0,,34,,0,,137,
TRANSPORTSTO THE MAINLAND,,7,,41,,23,,8,,7,,4,,90,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
